iter	Passed	Remaining
0	4	896
1	8	881
2	13	903
3	18	883
4	21	837
5	25	822
6	30	838
7	34	829
8	39	831
9	43	831
10	48	828
11	52	824
12	57	831
13	62	833
14	67	831
15	71	825
16	76	824
17	81	823
18	86	824
19	91	821
20	96	824
21	102	832
22	106	822
23	112	822
24	117	825
25	121	815
26	126	808
27	132	814
28	137	808
29	142	805
30	147	802
31	151	794
32	154	784
33	159	780
34	164	774
35	169	772
36	173	765
37	178	761
38	183	757
39	187	750
40	193	750
41	197	742
42	202	738
43	205	730
44	211	728
45	216	724
46	220	718
47	225	713
48	230	708
49	234	702
50	238	697
51	244	694
52	248	690
53	253	684
54	258	680
55	263	676
56	266	669
57	271	664
58	276	661
59	281	656
60	285	649
61	289	643
62	293	637
63	296	630
64	300	623
65	303	616
66	308	611
67	311	605
68	315	599
69	320	594
70	325	590
71	328	584
72	334	581
73	339	577
74	343	573
75	347	567
76	351	561
77	356	557
78	361	553
79	365	548
80	370	544
81	374	539
82	379	534
83	383	529
84	388	525
85	393	521
86	397	516
87	401	511
88	406	507
89	411	502
90	416	498
91	421	494
92	425	489
93	429	484
94	433	478
95	438	475
96	442	470
97	446	464
98	450	460
99	455	455
100	458	449
101	463	445
102	468	440
103	471	435
104	475	430
105	479	425
106	484	421
107	488	416
108	492	411
109	497	407
110	501	402
111	505	397
112	509	392
113	514	388
114	518	383
115	523	378
116	527	374
117	532	370
118	538	366
119	541	361
120	546	356
121	550	352
122	555	347
123	559	342
124	563	338
125	568	333
126	572	329
127	577	324
128	582	320
129	587	316
130	592	311
131	597	307
132	601	303
133	607	299
134	612	295
135	617	290
136	622	286
137	627	282
138	632	277
139	637	273
140	641	268
141	647	264
142	650	259
143	655	254
144	659	250
145	664	245
146	667	240
147	672	236
148	678	232
149	682	227
150	686	222
151	691	218
152	696	213
153	700	209
154	704	204
155	709	200
156	713	195
157	717	190
158	721	185
159	726	181
160	730	177
161	735	172
162	740	168
163	745	163
164	750	159
165	755	154
166	759	150
167	763	145
168	767	140
169	772	136
170	776	131
171	781	127
172	786	122
173	791	118
174	795	113
175	800	109
176	805	104
177	809	100
178	813	95
179	817	90
180	823	86
181	827	81
182	831	77
183	836	72
184	841	68
185	845	63
186	850	59
187	854	54
188	858	49
189	862	45
190	867	40
191	871	36
192	876	31
193	880	27
194	885	22
195	889	18
196	892	13
197	896	9
198	901	4
199	906	0
